id,date,round,home_team_name,home_goals,away_team_name,away_goals,league,country,start_season,end_season,home_team_id,away_team_id,season_id,league_id
16570,2018-08-18 16:00:00,1,Chievo,2,Juventus,3,Serie A,Italy,2018-08-19,2019-05-26,26,20,2,1
16583,2018-08-19 18:30:00,1,Bologna,0,SPAL,1,Serie A,Italy,2018-08-19,2019-05-26,27,16,2,1
16584,2018-08-19 18:30:00,1,Empoli,2,Cagliari,0,Serie A,Italy,2018-08-19,2019-05-26,5,3,2,1
16585,2018-08-19 18:30:00,1,Sassuolo,1,Internazionale,0,Serie A,Italy,2018-08-19,2019-05-26,9,22,2,1
16586,2018-08-19 16:00:00,1,Torino,0,Roma,1,Serie A,Italy,2018-08-19,2019-05-26,7,19,2,1
16587,2018-08-18 17:30:00,1,Lazio,1,Napoli,2,Serie A,Italy,2018-08-19,2019-05-26,23,8,2,1
16597,2018-08-20 18:30:00,1,Atalanta,4,Frosinone,0,Serie A,Italy,2018-08-19,2019-05-26,2,10,2,1
16598,2018-08-19 18:30:00,1,Parma,2,Udinese,2,Serie A,Italy,2018-08-19,2019-05-26,21,24,2,1
16621,2018-08-25 18:30:00,2,Napoli,3,Milan,2,Serie A,Italy,2018-08-19,2019-05-26,8,18,2,1
16622,2018-08-25 16:00:00,2,Juventus,2,Lazio,0,Serie A,Italy,2018-08-19,2019-05-26,20,23,2,1
16635,2018-08-26 18:30:00,2,Udinese,1,Sampdoria,0,Serie A,Italy,2018-08-19,2019-05-26,24,25,2,1
16636,2018-08-26 18:30:00,2,Internazionale,2,Torino,2,Serie A,Italy,2018-08-19,2019-05-26,22,7,2,1
16637,2018-08-26 18:30:00,2,Genoa,2,Empoli,1,Serie A,Italy,2018-08-19,2019-05-26,11,5,2,1
16638,2018-08-26 18:30:00,2,Frosinone,0,Bologna,0,Serie A,Italy,2018-08-19,2019-05-26,10,27,2,1
16639,2018-08-26 18:30:00,2,Fiorentina,6,Chievo,1,Serie A,Italy,2018-08-19,2019-05-26,4,26,2,1
16640,2018-08-26 18:30:00,2,Cagliari,2,Sassuolo,2,Serie A,Italy,2018-08-19,2019-05-26,3,9,2,1
16641,2018-08-26 16:00:00,2,SPAL,1,Parma,0,Serie A,Italy,2018-08-19,2019-05-26,16,21,2,1
16650,2018-08-27 18:30:00,2,Roma,3,Atalanta,3,Serie A,Italy,2018-08-19,2019-05-26,19,2,2,1
16651,2018-08-31 18:30:00,3,Milan,2,Roma,1,Serie A,Italy,2018-08-19,2019-05-26,18,19,2,1
16660,2018-09-01 18:30:00,3,Parma,1,Juventus,2,Serie A,Italy,2018-08-19,2019-05-26,21,20,2,1
16661,2018-09-01 16:00:00,3,Bologna,0,Internazionale,3,Serie A,Italy,2018-08-19,2019-05-26,27,22,2,1
16671,2018-09-02 16:00:00,3,Fiorentina,1,Udinese,0,Serie A,Italy,2018-08-19,2019-05-26,4,24,2,1
16677,2018-09-02 17:30:00,3,Torino,1,SPAL,0,Serie A,Italy,2018-08-19,2019-05-26,7,16,2,1
16678,2018-09-02 17:30:00,3,Sassuolo,5,Genoa,3,Serie A,Italy,2018-08-19,2019-05-26,9,11,2,1
16679,2018-09-02 17:30:00,3,Sampdoria,3,Napoli,0,Serie A,Italy,2018-08-19,2019-05-26,25,8,2,1
16680,2018-09-02 17:30:00,3,Atalanta,0,Cagliari,1,Serie A,Italy,2018-08-19,2019-05-26,2,3,2,1
16681,2018-09-02 17:30:00,3,Chievo,0,Empoli,0,Serie A,Italy,2018-08-19,2019-05-26,26,5,2,1
16682,2018-09-02 17:30:00,3,Lazio,1,Frosinone,0,Serie A,Italy,2018-08-19,2019-05-26,23,10,2,1
16693,2018-09-15 15:00:00,4,Napoli,1,Fiorentina,0,Serie A,Italy,2018-08-19,2019-05-26,8,4,2,1
16694,2018-09-15 12:00:00,4,Internazionale,0,Parma,1,Serie A,Italy,2018-08-19,2019-05-26,22,21,2,1
16699,2018-09-16 18:30:00,4,Cagliari,1,Milan,1,Serie A,Italy,2018-08-19,2019-05-26,3,18,2,1
16700,2018-09-16 16:00:00,4,Empoli,0,Lazio,1,Serie A,Italy,2018-08-19,2019-05-26,5,23,2,1
16701,2018-09-16 13:00:00,4,Udinese,1,Torino,1,Serie A,Italy,2018-08-19,2019-05-26,24,7,2,1
16702,2018-09-16 12:00:00,4,Genoa,1,Bologna,0,Serie A,Italy,2018-08-19,2019-05-26,11,27,2,1
16703,2018-09-16 12:00:00,4,Juventus,2,Sassuolo,1,Serie A,Italy,2018-08-19,2019-05-26,20,9,2,1
16704,2018-09-16 10:30:00,4,Roma,2,Chievo,2,Serie A,Italy,2018-08-19,2019-05-26,19,26,2,1
16705,2018-09-15 17:30:00,4,Frosinone,0,Sampdoria,5,Serie A,Italy,2018-08-19,2019-05-26,10,25,2,1
16713,2018-09-17 18:30:00,4,SPAL,2,Atalanta,0,Serie A,Italy,2018-08-19,2019-05-26,16,2,2,1
18220,2018-09-19 17:00:00,1,Sampdoria,1,Fiorentina,1,Serie A,Italy,2018-08-19,2019-05-26,25,4,2,1
18402,2018-09-21 17:30:00,5,Sassuolo,3,Empoli,1,Serie A,Italy,2018-08-19,2019-05-26,9,5,2,1
18416,2018-09-22 12:00:00,5,Parma,2,Cagliari,0,Serie A,Italy,2018-08-19,2019-05-26,21,3,2,1
18438,2018-09-23 13:00:00,5,Lazio,4,Genoa,1,Serie A,Italy,2018-08-19,2019-05-26,23,11,2,1
18439,2018-09-23 13:00:00,5,Chievo,0,Udinese,2,Serie A,Italy,2018-08-19,2019-05-26,26,24,2,1
18440,2018-09-23 13:00:00,5,Bologna,2,Roma,0,Serie A,Italy,2018-08-19,2019-05-26,27,19,2,1
18441,2018-09-23 10:30:00,5,Torino,1,Napoli,3,Serie A,Italy,2018-08-19,2019-05-26,7,8,2,1
18442,2018-09-22 17:30:00,5,Sampdoria,0,Internazionale,1,Serie A,Italy,2018-08-19,2019-05-26,25,22,2,1
18443,2018-09-22 15:00:00,5,Fiorentina,3,SPAL,0,Serie A,Italy,2018-08-19,2019-05-26,4,16,2,1
18476,2018-09-23 17:30:00,5,Frosinone,0,Juventus,2,Serie A,Italy,2018-08-19,2019-05-26,10,20,2,1
18477,2018-09-23 15:00:00,5,Milan,2,Atalanta,2,Serie A,Italy,2018-08-19,2019-05-26,18,2,2,1
18973,2018-09-25 18:00:00,6,Internazionale,2,Fiorentina,1,Serie A,Italy,2018-08-19,2019-05-26,22,4,2,1
18992,2018-09-27 17:00:00,6,SPAL,0,Sassuolo,2,Serie A,Italy,2018-08-19,2019-05-26,16,9,2,1
18993,2018-09-26 18:00:00,6,Genoa,2,Chievo,0,Serie A,Italy,2018-08-19,2019-05-26,11,26,2,1
18994,2018-09-26 18:00:00,6,Roma,4,Frosinone,0,Serie A,Italy,2018-08-19,2019-05-26,19,10,2,1
18995,2018-09-26 18:00:00,6,Napoli,3,Parma,0,Serie A,Italy,2018-08-19,2019-05-26,8,21,2,1
18996,2018-09-26 18:00:00,6,Juventus,2,Bologna,0,Serie A,Italy,2018-08-19,2019-05-26,20,27,2,1
18997,2018-09-26 18:00:00,6,Cagliari,0,Sampdoria,0,Serie A,Italy,2018-08-19,2019-05-26,3,25,2,1
18998,2018-09-26 18:00:00,6,Atalanta,0,Torino,0,Serie A,Italy,2018-08-19,2019-05-26,2,7,2,1
18999,2018-09-26 16:00:00,6,Udinese,1,Lazio,2,Serie A,Italy,2018-08-19,2019-05-26,24,23,2,1
19015,2018-09-27 18:00:00,6,Empoli,1,Milan,1,Serie A,Italy,2018-08-19,2019-05-26,5,18,2,1
19029,2018-09-29 18:30:00,7,Internazionale,2,Cagliari,0,Serie A,Italy,2018-08-19,2019-05-26,22,3,2,1
19030,2018-09-29 16:00:00,7,Juventus,3,Napoli,1,Serie A,Italy,2018-08-19,2019-05-26,20,8,2,1
19031,2018-09-29 13:00:00,7,Roma,3,Lazio,1,Serie A,Italy,2018-08-19,2019-05-26,19,23,2,1
19061,2018-09-30 16:00:00,7,Parma,1,Empoli,0,Serie A,Italy,2018-08-19,2019-05-26,21,5,2,1
19062,2018-09-30 13:00:00,7,Fiorentina,2,Atalanta,0,Serie A,Italy,2018-08-19,2019-05-26,4,2,2,1
19063,2018-09-30 13:00:00,7,Frosinone,1,Genoa,2,Serie A,Italy,2018-08-19,2019-05-26,10,11,2,1
19064,2018-09-30 13:00:00,7,Chievo,0,Torino,1,Serie A,Italy,2018-08-19,2019-05-26,26,7,2,1
19065,2018-09-30 10:30:00,7,Bologna,2,Udinese,1,Serie A,Italy,2018-08-19,2019-05-26,27,24,2,1
19145,2018-10-01 18:30:00,7,Sampdoria,2,SPAL,1,Serie A,Italy,2018-08-19,2019-05-26,25,16,2,1
19146,2018-09-30 18:30:00,7,Sassuolo,1,Milan,4,Serie A,Italy,2018-08-19,2019-05-26,9,18,2,1
19165,2018-10-05 18:30:00,8,Torino,3,Frosinone,2,Serie A,Italy,2018-08-19,2019-05-26,7,10,2,1
19181,2018-10-06 18:30:00,8,Empoli,0,Roma,2,Serie A,Italy,2018-08-19,2019-05-26,5,19,2,1
19182,2018-10-06 16:00:00,8,Udinese,0,Juventus,2,Serie A,Italy,2018-08-19,2019-05-26,24,20,2,1
19183,2018-10-06 13:00:00,8,Cagliari,2,Bologna,0,Serie A,Italy,2018-08-19,2019-05-26,3,27,2,1
19228,2018-10-07 18:30:00,8,SPAL,1,Internazionale,2,Serie A,Italy,2018-08-19,2019-05-26,16,22,2,1
19229,2018-10-07 16:00:00,8,Napoli,2,Sassuolo,0,Serie A,Italy,2018-08-19,2019-05-26,8,9,2,1
19230,2018-10-07 13:00:00,8,Atalanta,0,Sampdoria,1,Serie A,Italy,2018-08-19,2019-05-26,2,25,2,1
19231,2018-10-07 13:00:00,8,Milan,3,Chievo,1,Serie A,Italy,2018-08-19,2019-05-26,18,26,2,1
19232,2018-10-07 13:00:00,8,Lazio,1,Fiorentina,0,Serie A,Italy,2018-08-19,2019-05-26,23,4,2,1
19233,2018-10-07 10:30:00,8,Genoa,1,Parma,3,Serie A,Italy,2018-08-19,2019-05-26,11,21,2,1
19304,2018-10-20 18:30:00,9,Udinese,0,Napoli,3,Serie A,Italy,2018-08-19,2019-05-26,24,8,2,1
19305,2018-10-20 16:00:00,9,Juventus,1,Genoa,1,Serie A,Italy,2018-08-19,2019-05-26,20,11,2,1
19306,2018-10-20 13:00:00,9,Roma,0,SPAL,2,Serie A,Italy,2018-08-19,2019-05-26,19,16,2,1
19332,2018-10-21 18:30:00,9,Internazionale,1,Milan,0,Serie A,Italy,2018-08-19,2019-05-26,22,18,2,1
19333,2018-10-21 16:00:00,9,Fiorentina,1,Cagliari,1,Serie A,Italy,2018-08-19,2019-05-26,4,3,2,1
19334,2018-10-21 12:00:00,9,Parma,0,Lazio,2,Serie A,Italy,2018-08-19,2019-05-26,21,23,2,1
19335,2018-10-21 13:00:00,9,Bologna,2,Torino,2,Serie A,Italy,2018-08-19,2019-05-26,27,7,2,1
19336,2018-10-21 12:00:00,9,Chievo,1,Atalanta,5,Serie A,Italy,2018-08-19,2019-05-26,26,2,2,1
19337,2018-10-21 10:30:00,9,Frosinone,3,Empoli,3,Serie A,Italy,2018-08-19,2019-05-26,10,5,2,1
19356,2018-10-22 18:30:00,9,Sampdoria,0,Sassuolo,0,Serie A,Italy,2018-08-19,2019-05-26,25,9,2,1
27520,2018-10-27 18:30:00,10,Torino,1,Fiorentina,1,Serie A,Italy,2018-08-19,2019-05-26,7,4,2,1
27521,2018-10-27 15:00:00,10,Empoli,1,Juventus,2,Serie A,Italy,2018-08-19,2019-05-26,5,20,2,1
27522,2018-10-27 13:00:00,10,Atalanta,3,Parma,0,Serie A,Italy,2018-08-19,2019-05-26,2,21,2,1
27568,2018-10-28 18:30:00,10,Napoli,1,Roma,1,Serie A,Italy,2018-08-19,2019-05-26,8,19,2,1
27569,2018-10-28 17:00:00,10,Milan,3,Sampdoria,2,Serie A,Italy,2018-08-19,2019-05-26,18,25,2,1
27570,2018-10-28 14:00:00,10,Genoa,2,Udinese,2,Serie A,Italy,2018-08-19,2019-05-26,11,24,2,1
27571,2018-10-28 14:00:00,10,SPAL,0,Frosinone,3,Serie A,Italy,2018-08-19,2019-05-26,16,10,2,1
27572,2018-10-28 13:00:00,10,Cagliari,2,Chievo,1,Serie A,Italy,2018-08-19,2019-05-26,3,26,2,1
27573,2018-10-28 10:30:00,10,Sassuolo,2,Bologna,2,Serie A,Italy,2018-08-19,2019-05-26,9,27,2,1
27594,2018-10-29 19:30:00,10,Lazio,0,Internazionale,3,Serie A,Italy,2018-08-19,2019-05-26,23,22,2,1
27607,2018-10-31 19:30:00,1,Milan,2,Genoa,1,Serie A,Italy,2018-08-19,2019-05-26,18,11,2,1
