"";"id";"date";"round";"home_team_name";"home_goals";"away_team_name";"away_goals";"league";"country";"start_season";"end_season";"home_team_id";"away_team_id";"season_id";"league_id";"xGcasa";"xGtrasferta";"xGhomehome";"punti_homehome";"xGawayaway";"punti_awayaway";"xGhome_team_away";"punti_home_team_away";"xGaway_team_home";"punti_away_team_home";"classificahome";"classificatrasf";"risultato"
"1";16570;"2018-08-18 16:00:00";1;"Chievo";2;"Juventus";3;"Serie A";"Italy";"2018-08-19";"2019-05-26";26;20;2;1;1,051;2,259;0;0;0;0;0;0;0;0;0;0;"2"
"2";16583;"2018-08-19 18:30:00";1;"Bologna";0;"SPAL";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";27;16;2;1;0,906;0,526;0;0;0;0;0;0;0;0;0;0;"2"
"3";16584;"2018-08-19 18:30:00";1;"Empoli";2;"Cagliari";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";5;3;2;1;1,459;0,574;0;0;0;0;0;0;0;0;0;0;"1"
"4";16585;"2018-08-19 18:30:00";1;"Sassuolo";1;"Internazionale";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";9;22;2;1;1,404;1,204;0;0;0;0;0;0;0;0;0;0;"1"
"5";16586;"2018-08-19 16:00:00";1;"Torino";0;"Roma";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";7;19;2;1;0,496;1,18;0;0;0;0;0;0;0;0;0;0;"2"
"6";16587;"2018-08-18 17:30:00";1;"Lazio";1;"Napoli";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";23;8;2;1;1,082;1,519;0;0;0;0;0;0;0;0;0;0;"2"
"7";16597;"2018-08-20 18:30:00";1;"Atalanta";4;"Frosinone";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";2;10;2;1;2,668;0,348;0;0;0;0;0;0;0;0;0;0;"1"
"8";16598;"2018-08-19 18:30:00";1;"Parma";2;"Udinese";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";21;24;2;1;1,554;1,995;0;0;0;0;0;0;0;0;0;0;"X"
"9";16621;"2018-08-25 18:30:00";2;"Napoli";3;"Milan";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";8;18;2;1;2,037;0,521;0;0;0;0;0;0;0;0;0;0;"1"
"10";16622;"2018-08-25 16:00:00";2;"Juventus";2;"Lazio";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";20;23;2;1;1,507;0,315;0;0;0;0;0;0;0;0;0;0;"1"
"11";16635;"2018-08-26 18:30:00";2;"Udinese";1;"Sampdoria";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";24;25;2;1;1,798;0,585;0;0;0;0;0;0;0;0;0;0;"1"
"12";16636;"2018-08-26 18:30:00";2;"Internazionale";2;"Torino";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";22;7;2;1;0,789;0,921;0;0;0;0;0;0;0;0;0;0;"X"
"13";16637;"2018-08-26 18:30:00";1;"Genoa";2;"Empoli";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";11;5;2;1;0,95;1,257;0;0;0;0;0;0;0;0;0;0;"1"
