"";"xGhomehome";"xGawayaway";"xGhome_team_away";"xGaway_team_home";"punti_homehome";"punti_awayaway";"punti_home_team_away";"punti_away_team_home";"classificahome";"classificatrasf";"risultato"
"850";0,504;1,249;0,850666666666667;1,4155;2;1,75;1;2;22;41;"2"
"851";1,1835;0,345333333333333;0,6395;1,18266666666667;1,5;0,666666666666667;0;1,33333333333333;10;26;"2"
"853";1,23;1,1525;1,12366666666667;1,25625;2;2;0,333333333333333;1,5;36;38;"2"
"854";1,56125;1,66966666666667;1,4995;1,51166666666667;1,25;3;0,5;2;24;56;"2"
"855";1,72133333333333;0,741;1,00366666666667;0,99325;2,33333333333333;0,5;1;2;44;52;"2"
"857";0,665;1,557;0,61575;1,2335;0,5;0;0,75;0,5;33;24;"2"
"858";2,3755;1,55333333333333;1,1035;1,09;3;2,33333333333333;3;1,33333333333333;71;41;"1"
"859";1,33275;2,6635;0,741;1,938;2;3;0,5;2,25;51;69;"X"
"861";1,07666666666667;1,47166666666667;1,00233333333333;1,09;2;2,33333333333333;0;1,33333333333333;33;38;"2"
"862";0,924333333333333;0,898666666666667;0,345333333333333;1,081;1;1;0,666666666666667;1;25;52;"X"
"863";1,17466666666667;1,085;1,27533333333333;1,786;0,666666666666667;1,5;1,33333333333333;2;21;44;"1"
"864";1,0495;0,701666666666667;1,557;0,763333333333333;0,5;1;0;1,33333333333333;23;23;"X"
"865";2,0335;0,76175;1,1035;0,665;3;0,75;3;0,5;68;33;"1"
"866";1,10166666666667;0,51;1,405;1,1835;1;0;1,33333333333333;1,5;35;10;"1"
"867";0,789333333333333;0,279;0,850666666666667;0,284333333333333;1;0;1;1;19;25;"1"
"868";1,92633333333333;1,14266666666667;1,66966666666667;1,23;1;0,666666666666667;3;2;53;36;"1"
"869";1,82;1,85166666666667;2,147;1,92633333333333;3;2,33333333333333;3;1;69;50;"2"
"870";1,44933333333333;1,21875;0,898666666666667;2,0335;2;3;1;3;52;65;"2"
"871";0,8795;0,797;0,80325;1,3645;0,5;0;1;2,25;20;33;"1"
"872";1,00266666666667;1,674;0,345333333333333;1,941;1;3;0,666666666666667;3;25;66;"2"
"873";2,581;1,81733333333333;1,51575;1,71566666666667;1,5;2,33333333333333;2;3;50;41;"2"
"874";1,36933333333333;0,281;1,405;0,357;0,333333333333333;0;1,33333333333333;1;32;25;"1"
"875";1,16366666666667;0,6545;1,315;1,3775;0,666666666666667;0;0;2,25;23;49;"2"
"876";0,693;1,1805;0,67375;1,42675;0;1;0,75;2,25;16;36;"1"
"877";2,151;0,525333333333333;1,085;0,574333333333333;2;1;1,5;0,666666666666667;41;33;"1"
"878";1,145;0,630666666666667;1,08325;1,331;1;0,333333333333333;1;0,333333333333333;21;17;"2"
"879";1,491;0,547666666666667;1,06366666666667;1,33766666666667;1,66666666666667;0;0,666666666666667;2;48;10;"1"
"880";1,226;0,497333333333333;0,851666666666667;1,056;2;2;0;2;30;30;"1"
"881";1,13066666666667;0,857666666666667;1,18566666666667;0,491333333333333;2;1;1;0;46;16;"1"
"882";1,5935;1,2895;1,597;2,151;3;1,5;2;2;38;41;"1"
"883";1,625;1,3755;1,47166666666667;1,507;1;1,5;2,33333333333333;0,5;37;31;"X"
"884";1,23533333333333;0,73;0,547666666666667;0,794666666666667;2;1,33333333333333;0;0,666666666666667;7;21;"1"
"885";1,26233333333333;0,713;0,851666666666667;1,16366666666667;1;0,333333333333333;0;0,666666666666667;27;23;"1"
"886";1,90466666666667;0,797333333333333;1,57633333333333;1,331;3;0,333333333333333;3;0,333333333333333;63;17;"1"
"887";1,6235;1,15275;1,1805;2,0335;2,5;3;1;3;36;62;"2"
"888";1,0605;1,152;0,38925;1,30525;1,5;1;1,75;1,5;27;48;"1"
"889";0,301333333333333;0,445;0,5;1,00266666666667;0,333333333333333;1,66666666666667;0;1;22;25;"1"
"890";0,615;1,52666666666667;0,50825;2,118;1;1,66666666666667;1;1;33;47;"2"
"891";1,83766666666667;0,597666666666667;1,52666666666667;1,23533333333333;0,333333333333333;0;1,66666666666667;2;44;7;"1"
"892";0,939333333333333;1,144;1,226;1,26233333333333;1;1;0,666666666666667;1;45;27;"1"
"893";0,664;0,326333333333333;0,5;1,80133333333333;0,333333333333333;1,33333333333333;0;2;22;24;"2"
"894";1,76575;0,779333333333333;1,2895;0,491333333333333;2;1;1,5;0;38;16;"1"
"895";1,77266666666667;0,65025;1,19966666666667;0,615;2,33333333333333;1,75;1;1;33;33;"1"
"896";1,135;0,572;0,713;0,8065;1,33333333333333;2;0,333333333333333;0,75;22;24;"X"
"897";2,04966666666667;1,28866666666667;1,57633333333333;1,13066666666667;3;1,33333333333333;3;2;60;46;"1"
"898";0,7685;1,68;0,6685;1,625;0,5;3;1;1;20;36;"X"
"899";1,59633333333333;1,214;0,797333333333333;1,39833333333333;0,666666666666667;1,66666666666667;0,333333333333333;2;17;35;"2"
"900";1,727;1,36666666666667;1,55033333333333;2,12466666666667;0,666666666666667;3;2;3;31;59;"2"
"901";2,05733333333333;0,129;1,28866666666667;1,80133333333333;3;0,666666666666667;1,33333333333333;2;46;21;"2"
"902";1,24033333333333;1,60333333333333;0,597666666666667;2,04966666666667;2;3;0;3;7;57;"2"
"903";1,62366666666667;0,765666666666667;1,68;0,664;0,333333333333333;0;3;0,333333333333333;33;22;"1"
"904";1,214;1,905;1,144;1,54275;1;1,5;1;0,75;27;28;"2"
"905";1,9595;1,49533333333333;0,65025;1,39833333333333;2;1,33333333333333;1,75;2;32;34;"X"
"906";1,8555;1,20566666666667;1,227;1,135;3;1,33333333333333;3;1,33333333333333;56;22;"1"
"907";0,52;1,33433333333333;0,418;1,59633333333333;0;1,33333333333333;1,33333333333333;0,666666666666667;21;17;"1"
"908";0,874666666666667;1,57766666666667;0,779333333333333;1,83766666666667;1;0,666666666666667;1;0,333333333333333;16;41;"2"
"909";1,51933333333333;0,606;1,226;1,253;0,666666666666667;1;0,666666666666667;1,33333333333333;44;19;"X"
"910";2,25433333333333;1,1045;1,17333333333333;1,5125;2,33333333333333;1;1;1,75;37;32;"X"
"911";1,79033333333333;0,981;1,57766666666667;1,96725;1,33333333333333;0;0,666666666666667;1,75;41;34;"2"
"912";1,28366666666667;1,468;1,49533333333333;2,05733333333333;2;1,66666666666667;1,33333333333333;3;31;46;"1"
"913";1,25166666666667;1,02466666666667;1,092;1,24033333333333;1,33333333333333;0;1,66666666666667;2;29;7;"1"
"914";1,92033333333333;1,17466666666667;1,60333333333333;1,214;2,33333333333333;1;3;1;54;27;"1"
"915";1,158;0,501;0,63125;0,702;1,5;1,5;0,75;0,25;18;20;"X"
"916";1,612;0,866333333333333;1,33833333333333;0,874666666666667;1;0,333333333333333;1,33333333333333;1;28;13;"2"
"917";1,76133333333333;1,3235;0,129;1,9595;2;1,75;0,666666666666667;2;21;29;"2"
"918";1,86733333333333;1,12166666666667;1,33433333333333;1,51933333333333;0,666666666666667;0,666666666666667;1,33333333333333;0,666666666666667;16;43;"X"
"919";0,987;1,25333333333333;0,765666666666667;1,56666666666667;0,666666666666667;3;0;2,33333333333333;22;53;"2"
"920";1,57066666666667;1,39433333333333;1,20566666666667;1,62366666666667;2,33333333333333;3;1,33333333333333;0,333333333333333;22;30;"2"
"921";1,963;1,65;1,20533333333333;1,79033333333333;2;0,666666666666667;0,333333333333333;1,33333333333333;33;40;"X"
"922";2,09966666666667;1,502;1,468;1,458;2;2,33333333333333;1,66666666666667;2,33333333333333;43;29;"1"
"923";1,648;0,456333333333333;1,18875;1,76133333333333;2;1,66666666666667;3;2;50;21;"1"
"924";2,275;2,221;1,12166666666667;2,51925;1,33333333333333;0,5;0,666666666666667;1,75;42;39;"X"
"925";0,670333333333333;1,44733333333333;0,710666666666667;1,28366666666667;0,333333333333333;0,666666666666667;1,33333333333333;2;20;28;"2"
"926";0,873666666666667;1,1915;1,17466666666667;1,231;0,333333333333333;0;1;1,75;24;7;"1"
"927";2,5685;0,798;1,63475;0,987;1,5;0;2;0,666666666666667;40;22;"1"
"928";0,753333333333333;0,566;0,866333333333333;0,896666666666667;1;0;0,333333333333333;1;13;15;"2"
"929";1,62;1,0525;1,20533333333333;1,8235;1;2;0,333333333333333;1,5;30;28;"1"
"930";1,9905;1,40533333333333;1,616;1,86733333333333;3;1;2,5;0,666666666666667;28;15;"X"
"931";1,6535;1,1525;1,00925;1,15225;3;2;1;1,25;21;28;"X"
"932";2,216;1,848;1,30525;1,62925;0,5;3;2,5;1,75;30;51;"2"
"933";0,877666666666667;1,08933333333333;0,710666666666667;1,81133333333333;0,333333333333333;3;1,33333333333333;2,33333333333333;20;47;"2"
"934";2,96166666666667;1,471;1,91;1,99733333333333;2,33333333333333;2,33333333333333;0,666666666666667;1,33333333333333;39;27;"2"
"935";1,01666666666667;0,443666666666667;1,44733333333333;0,896666666666667;1,33333333333333;0;0,666666666666667;1;25;15;"1"
"936";1,40433333333333;1,49866666666667;1,79833333333333;0,753333333333333;1,33333333333333;1,33333333333333;3;1;48;13;"1"
"937";1,684;1,43033333333333;1,26825;2,29366666666667;1;1,66666666666667;0,75;1,33333333333333;15;37;"2"
"938";1,09266666666667;1,10966666666667;0,961333333333333;1,62;1,33333333333333;0,333333333333333;0;1;4;30;"1"
"939";1,90166666666667;1,06866666666667;0,456333333333333;1,48733333333333;1,33333333333333;1,33333333333333;1,66666666666667;2;18;21;"1"
"940";0,864;1,2815;1,10233333333333;0,96325;0,666666666666667;1,5;1,66666666666667;1;25;24;"1"
"941";1,78933333333333;0,955666666666667;1,12833333333333;2,275;1,66666666666667;1,33333333333333;1,66666666666667;1,33333333333333;27;41;"X"
"942";1,36066666666667;2,00233333333333;0,798;1,435;1,33333333333333;3;0;2;21;27;"X"
"943";1,298;1,229;1,49866666666667;1,81133333333333;1;2;1,33333333333333;2,33333333333333;13;44;"2"
"944";2,40366666666667;1,45966666666667;0,955666666666667;2,29366666666667;2;1,33333333333333;1,33333333333333;1,33333333333333;40;36;"X"
"945";1,995;0,796333333333333;1,1925;0,877666666666667;2;1,33333333333333;1,75;0,333333333333333;27;17;"2"
"946";1,132;0,946333333333333;0,961333333333333;1,36066666666667;0,333333333333333;0,333333333333333;0;1,33333333333333;1;21;"1"
"947";0,897666666666667;2,44;1,272;1,2455;1,33333333333333;3;2;1,5;24;24;"2"
"948";2,925;1,61133333333333;1,91;1,48733333333333;3;2;0,666666666666667;2;38;20;"X"
"949";1,37833333333333;1,50166666666667;1,10966666666667;1,47733333333333;1;1;0,333333333333333;1;27;15;"1"
"950";1,48166666666667;1,033;1,10233333333333;1,90166666666667;0,666666666666667;2,33333333333333;1,66666666666667;1,33333333333333;24;17;"X"
"951";1,724;1,238;1,15225;1,01666666666667;2;0,333333333333333;1,5;1,33333333333333;26;24;"X"
"952";0,960333333333333;2,007;0,443666666666667;1,4415;1;3;0;1,75;15;45;"2"
"953";2,07233333333333;2,03166666666667;1,229;2,925;2,33333333333333;1,66666666666667;2;3;41;38;"1"
"954";1,021;0,922666666666667;1,23325;1,60433333333333;2;1,33333333333333;1;1,66666666666667;24;24;"2"
"955";1,153;0,712333333333333;1,033;1,132;0,333333333333333;0;2,33333333333333;0,333333333333333;14;1;"1"
"956";1,098;1,35766666666667;1,57366666666667;1,37833333333333;1,33333333333333;1,33333333333333;2,33333333333333;1;42;27;"1"
"957";1,23633333333333;0,7465;1,61133333333333;2,2115;1;2;2;1,75;17;40;"1"
"958";1,577;1,06533333333333;1,35075;1,48166666666667;1;1,66666666666667;1;0,666666666666667;14;23;"X"
"959";0,7045;1,71;2,44;1,298;1,5;1,33333333333333;3;1;21;13;"1"
"960";1,58;0,955666666666667;1,8255;0,960333333333333;0,5;1;1,75;1;33;15;"1"
"961";1,597;0,903;0,796333333333333;1,54666666666667;1,33333333333333;1;1,33333333333333;1,33333333333333;17;23;"2"
"962";1,12066666666667;1,222;0,946333333333333;0,9115;1,66666666666667;1,5;0,333333333333333;1;21;21;"2"
"963";1,1915;2,24575;1,033;1,58;2;2,25;1;0,5;23;32;"X"
"964";0,972;1,02533333333333;0,712333333333333;1,16266666666667;0,333333333333333;0,333333333333333;0;1,66666666666667;1;11;"2"
"965";1,13066666666667;1,114;1,004;2,07233333333333;1,33333333333333;2;1;2,33333333333333;21;38;"2"
"966";0,548;1,28866666666667;0,955666666666667;1,12066666666667;1;0,333333333333333;1;1,66666666666667;12;21;"1"
"967";1,825;1,39833333333333;0,86825;1,153;1,5;2;0,75;0,333333333333333;22;13;"X"
"968";1,67;1,155;1,35766666666667;1,23633333333333;2;1;1,33333333333333;1;27;14;"2"
"969";1,134;1,09133333333333;1,71;1,07566666666667;0;1,33333333333333;1,33333333333333;1,33333333333333;10;24;"1"
"970";2,387;0,988;2,03166666666667;1,597;3;1,33333333333333;1,66666666666667;1,33333333333333;35;17;"1"
"971";2,11966666666667;1,203;1,06533333333333;1,56775;1,66666666666667;2;1,66666666666667;1,75;23;39;"2"
"972";2,18566666666667;1,4335;0,868666666666667;0,7045;2,33333333333333;3;2,33333333333333;1,5;40;18;"2"
"973";1,14666666666667;0,919666666666667;1,39833333333333;1,53233333333333;0,333333333333333;0,333333333333333;2;2,33333333333333;13;20;"2"
"974";1,905;1,00133333333333;2,24575;2,11966666666667;2;0,666666666666667;2,25;1,66666666666667;32;20;"2"
"975";1,1725;0,9105;1,17775;1,06975;0,5;1,5;1,75;1;21;21;"1"
"976";0,677333333333333;0,865;1,155;0,548;0;1;1;1;11;12;"1"
"977";1,762;1,08933333333333;1,19933333333333;1,66266666666667;2;0,666666666666667;2,33333333333333;2;38;21;"X"
"978";0,699;1,40866666666667;0,9965;1,134;2;1;0,25;0;10;9;"X"
"979";0,91125;0,64;1,4335;0,972;0,75;0;3;0,333333333333333;15;1;"1"
"980";1,02566666666667;1,7955;1,28866666666667;2,3925;1,33333333333333;2;0,333333333333333;3;20;34;"X"
